Name, Birthyear, Birthplace, Deathyear, Deathcause, Award, Height, Religion
George L. Mabry Jr., 1917, NA, 1990, NA, 7, NA, NA
George Ladd (Medal of Honor), NA, NA, 1869, NA, 14, NA, NA
George Lambton, 1860, NA, 1945, NA, 36, NA, NA
George Landenberger, 1879, NA, 1936, NA, 10, NA, NA
George Lane (British Army officer), 1915, NA, 2010, NA, 14, NA, NA
George Lawson (RAF officer), 1899, South Africa, 1922, NA, 43, NA, NA
George LeRoy Irwin, 1868, NA, 1931, NA, 2, NA, NA
George Lea (British Army officer), 1912, NA, 1990, NA, 3, NA, NA
George Lewis (Royal Marines officer), 1774, NA, 1854, NA, 17, NA, NA
George Lindsay (British Army officer), 1880, NA, 1956, NA, 4, NA, NA
George Lingham, 1898, Australia, 1982, NA, 43, NA, NA
George Lloyd (aviator), 1892, NA, 1955, NA, 2, NA, NA
George Long (bishop), 1874, NA, 1930, NA, 27, NA, NA
George Louis Beer, 1872, NA, 1920, NA, 12, NA, NA
George Loyd, 1844, NA, 1917, NA, 14, NA, NA
George Luck, 1840, NA, 1916, NA, 17, NA, NA
George M. Campbell, 1907, NA, 1942, NA, 10, NA, NA
George M. Cox, 1892, India, 1977, NA, 3, NA, NA
George M. Love, 1831, NA, 1887, NA, 14, NA, NA
George M. Lowry, 1889, NA, 1981, NA, 2, NA, NA
George M. Parker (general), 1889, NA, 1968, NA, 39, NA, NA
George M. Seignious, 1921, NA, 2005, NA, 5, NA, NA
George M. Shelton, 1877, NA, 1949, NA, 14, NA, NA
George Macarthur-Onslow, 1875, NA, 1931, NA, 3, NA, NA
George Macaulay Kirkpatrick, 1866, NA, 1950, NA, 2, NA, NA
George Macdonogh, 1865, NA, 1942, NA, 4, NA, NA
George Mackinolty, 1895, NA, 1951, NA, 2, NA, NA
George Malcolm (Indian Army officer), 1818, NA, 1897, NA, 17, NA, NA
George Mardikian, 1903, NA, 1977, NA, 16, NA, Armenian Apostolic Church
George Marsh (Medal of Honor), NA, NA, 1915, NA, 14, NA, NA
George Martin (Royal Navy officer), 1764, NA, 1847, NA, 5, NA, NA
George Martin Lees, 1898, NA, 1955, NA, 3, NA, NA
George McCall Courts, 1888, NA, 1932, NA, 14, NA, NA
George McGill (RCAF officer), 1918, NA, 1944, NA, 23, NA, NA
George Melville-Jackson, 1919, NA, 2009, NA, 43, NA, NA
George Merrill (Medal of Honor), 1847, NA, 1925, NA, 14, NA, NA
George Mitchell (New Zealand politician), 1877, NA, 1939, NA, 27, NA, NA
George Moore (jockey), 1923, NA, 2008, NA, 5, NA, NA
George More-Molyneux, 1851, NA, 1903, NA, 2, NA, NA
George Mortimer Morris, 1871, NA, 1954, NA, 2, NA, NA
George Mulock, 1864, NA, 1963, NA, 2, NA, NA
George Mundy, 1777, NA, 1861, NA, 17, NA, NA
George Murray (Royal Navy officer born 1759), 1759, NA, 1819, NA, 2, NA, NA
George N. Bliss, 1837, NA, 1928, NA, 14, NA, NA
George N. Galloway, 1841, NA, 1904, NA, 14, NA, NA
George N. Parks, 1953, NA, 2010, NA, 16, NA, NA
George Napier Johnston, 1867, NA, 1947, NA, 5, NA, NA
George Norton Cory, 1874, NA, 1968, NA, 3, NA, NA
George Otis Smith, 1871, United States, 1944, NA, 21, NA, NA
George Owen Johnson, 1896, Canada, 1980, NA, 5, NA, NA
George P. Dow, 1840, NA, 1910, NA, 14, NA, NA
George P. Hawkes, 1824, NA, 1903, NA, 17, NA, NA
George P. Scriven, 1854, NA, 1940, NA, 6, NA, NA
George Palao, 1940, United Kingdom, 2009, NA, 20, NA, NA
George Palliser, 1919, NA, 2011, NA, 2, NA, NA
George Petersen, 1921, NA, 2000, NA, 12, NA, NA
George Peterson (Medal of Honor), NA, NA, 1945, NA, 3, NA, NA
George Philip Bradley Roberts, 1906, NA, 1997, NA, 3, NA, NA
George Philip Jr., 1912, NA, 1945, NA, 3, NA, NA
George Pirie (RAF officer), 1896, NA, 1980, NA, 4, NA, NA
George Pirie Thomson, 1887, NA, 1965, NA, 3, NA, NA
George Powell-Shedden, 1916, NA, 1994, NA, 2, NA, NA
George Price Hays, 1892, NA, 1978, NA, 14, NA, NA
George R. Gardiner, 1917, Canada, 1997, NA, 4, NA, Anglican Church of Canada
George R. Henderson, 1893, NA, 1964, NA, 2, NA, NA
George R. Howsam, 1895, NA, 1988, NA, 2, NA, NA
George R. Mather, 1911, NA, 1993, NA, 4, NA, NA
George R. Riley, 1899, NA, 1983, NA, 2, NA, NA
George Radin, 1931, NA, 2013, NA, 10, NA, NA
George Rankin, 1887, NA, 1957, NA, 2, NA, NA
George Ray Tweed, 1902, NA, 1989, NA, 2, NA, NA
George Reid (RAF officer), 1893, NA, 1991, NA, 4, NA, NA
George Richards (Marine Corps), 1872, NA, 1948, NA, 2, NA, NA
George Richardson (Indian Army officer), 1847, NA, 1931, NA, 3, NA, NA
George Ritter Burnett, 1858, NA, 1908, NA, 14, NA, NA
George Robert Cholister, 1898, NA, 1924, NA, 14, NA, NA
George Roos-Keppel, 1866, NA, 1921, NA, 2, NA, NA
George Rose (Medal of Honor), 1880, NA, 1932, NA, 14, NA, NA
George S. Blanchard, 1920, NA, 2006, NA, 5, NA, NA
George S. Hammond, 1921, United States, 2005, NA, 5, NA, NA
George S. L. Hayward, 1894, NA, 1924, NA, 14, NA, NA
George S. Robb, 1887, NA, 1972, NA, 14, NA, NA
George S. Schairer, 1913, NA, 2004, NA, 23, NA, NA
George Sabin Gibbs, 1875, NA, 1947, NA, 39, NA, NA
George Salmon, 1819, NA, 1904, NA, 2, NA, Church of Ireland
George Samuel Sewell, 1897, NA, 1969, NA, 2, NA, NA
George Sartorius, 1790, India, 1885, NA, 3, NA, NA
George Seymour (Royal Navy officer), 1787, NA, 1870, NA, 2, NA, NA
George Spafford Richardson, 1868, NA, 1938, NA, 6, NA, NA
George Stacey Hodson, 1899, NA, 1976, NA, 3, NA, NA
George Stevens, 1904, United States, 1975, NA, 12, NA, NA
George Stewart 8th Earl of Galloway, 1768, NA, 1834, NA, 20, NA, NA
George Stronach, 1914, NA, 1999, NA, 12, NA, NA
George Styles, 1928, NA, 2006, NA, 2, NA, NA
George Swabey, 1881, NA, 1952, NA, 3, NA, NA
George Taylor (Medal of Honor), 1830, NA, 1893, NA, 14, NA, NA
George Thesiger, 1868, NA, 1915, NA, 2, NA, NA
George Thomson (RAF officer), 1896, NA, 1918, NA, 43, NA, NA
George Townsend Turner, 1906, NA, 1979, NA, 3, NA, NA
George Tuxford, 1870, NA, 1942, NA, 2, NA, NA
George Uhrl, 1838, NA, 1911, NA, 14, NA, NA
George Upton 3rd Viscount Templetown, 1802, NA, 1890, NA, 17, NA, NA
George V. Kelley, 1843, NA, 1905, NA, 14, NA, NA
George V. Underwood Jr., 1913, NA, 1984, NA, 3, NA, NA
George Vallings, 1932, Kenya, 2007, NA, 17, NA, NA
George Vasey (botanist), 1822, NA, 1893, NA, 2, NA, NA
George Volkoff, 1914, NA, 2000, NA, 2, NA, NA
George W. Baird, 1839, NA, 1906, NA, 14, NA, NA
George W. Biegler, 1869, NA, 1929, NA, 14, NA, NA
George W. Brush, 1842, NA, 1927, NA, 14, NA, NA
George W. Clute, 1842, NA, 1919, NA, 14, NA, NA
George W. Corliss, 1834, NA, 1903, NA, 14, NA, NA
George W. Ford, 1844, NA, 1883, NA, 14, NA, NA
George W. Fuller, 1868, NA, 1934, NA, 2, NA, NA
George W. G. Boyce Jr., NA, NA, 1944, NA, 2, NA, NA
George W. Gibbs Jr., 1916, NA, 2000, NA, 40, NA, NA
George W. Harris, 1835, NA, 1920, NA, 14, NA, NA
George W. Healey, 1842, NA, 1913, NA, 14, NA, NA
George W. Leland, 1834, NA, 1880, NA, 14, NA, NA
George W. Lucas, 1845, NA, 1921, NA, 14, NA, NA
George W. Mathews, 1874, NA, 1906, NA, 14, NA, NA
George W. McWilliams, 1842, NA, 1900, NA, 14, NA, NA
George W. Mundy, 1905, NA, 2000, NA, 6, NA, NA
George W. Reed, 1831, NA, 1906, NA, 14, NA, NA
George W. Wallace, 1872, NA, 1946, NA, 14, NA, NA
George Wallis, 1811, NA, 1891, NA, 32, NA, NA
George Walther Sr., 1876, NA, 1876, NA, 56, NA, NA
George Walton (Royal Navy officer), 1664, NA, 1739, NA, 6, NA, NA
George Ward Linn, 1884, NA, 1966, NA, 40, NA, NA
George Washington Bright, 1874, NA, 1949, NA, 14, NA, NA
George Washington Carver, 1860, United States, 1943, NA, 14, NA, Christianity
George Washington Cullum, 1809, NA, 1892, NA, 25, NA, NA
George Washington Williams (naval officer), 1869, NA, 1925, NA, 10, NA, NA
George Watson (Royal Navy officer), 1827, NA, 1897, NA, 17, NA, NA
George Wellesley, 1814, NA, 1901, NA, 17, NA, NA
George Wendell Brett, 1912, NA, 2005, NA, 3, NA, NA
George Willard Furlow, 1893, NA, 1959, NA, 43, NA, NA
George Willes, 1823, NA, 1901, NA, 17, NA, NA
George William Bulmer, 1898, NA, 1987, NA, 2, NA, NA
George William Goddard, 1889, NA, 1987, NA, 2, NA, NA
George William Gregory Bird, 1916, NA, 1997, NA, 4, NA, NA
George William Rud, 1883, NA, 1916, NA, 14, NA, NA
George Willis (British Army officer), 1823, NA, 1900, NA, 17, NA, NA
George Windle Read, 1860, NA, 1934, NA, 39, NA, NA
George Windle Read Jr., 1900, NA, 1974, NA, 7, NA, NA
George Winokur, 1925, NA, 1996, NA, 2, NA, NA
George Wootten, 1893, NA, 1970, NA, 6, NA, NA
George Zames, 1934, Poland, 1997, NA, 3, NA, NA
Georges Bergé, 1909, France, 1997, NA, 8, NA, NA
Georges Blanc (pilot), 1887, NA, 1960, NA, 3, NA, NA
Georges Flachaire, 1892, NA, 1973, NA, 4, NA, NA
Georges Giraud, 1889, NA, 1943, NA, 8, NA, NA
Georges Journois, 1896, France, 1944, NA, 14, NA, NA
Georges Lachmann, 1890, NA, 1961, NA, 6, NA, NA
Georges Lienhart, 1886, NA, 1952, NA, 3, NA, NA
Georges Madon, 1892, Tunisia, 1924, NA, 34, NA, NA
Georges Maroniez, 1865, France, 1933, NA, 16, NA, NA
Georges Pelletier d'Oisy, 1892, NA, 1953, NA, 3, NA, NA
Georges Raymond, 1897, France, 1918, NA, 2, NA, NA
Georges René Le Peley de Pléville, 1726, NA, 1805, NA, 16, NA, NA
Georges Rouget, 1783, NA, 1869, NA, 16, NA, NA
Georges Thenault, 1887, NA, 1948, NA, 2, NA, NA
Georges Wolinski, 1934, Tunisia, 2015, NA, 2, NA, NA
Georgette Chen, 1906, NA, 1993, NA, 18, NA, NA
Georgi Zakharov, 1908, NA, 1996, NA, 8, NA, NA
Georgy Sergeev, 1911, NA, 1988, NA, 8, NA, NA
Georgy Yegorov, 1918, Russia, 2008, NA, 6, NA, NA
Gerald B. Whitham, 1927, NA, 2014, NA, 43, NA, NA
Gerald Boyd (British Army officer), 1877, United Kingdom, 1930, NA, 4, NA, NA
Gerald C. Thomas, 1894, NA, 1984, NA, 7, NA, NA
Gerald Charles Dickens, 1879, NA, 1962, NA, 3, NA, NA
Gerald Cuthbert, 1861, NA, 1931, NA, 3, NA, NA
Gerald E. Brown, 1926, NA, 2013, NA, 3, NA, NA
Gerald Evan Williams, 1907, NA, 1949, NA, 7, NA, NA
Gerald F. Bogan, 1894, NA, 1973, NA, 3, NA, NA
Gerald Ferguson, 1937, NA, 2009, NA, 12, NA, NA
Gerald Frank Anderson, 1898, South Africa, 1984, NA, 2, NA, NA
Gerald Gibbs (RAF officer), 1896, NA, 1992, NA, 6, NA, NA
Gerald Gladstone (Royal Navy officer), 1901, NA, 1978, NA, 2, NA, NA
Gerald Kellett, 1905, NA, 1973, NA, 2, NA, NA
Gerald Kitson, 1856, NA, 1950, NA, 3, NA, NA
Gerald L. Endl, 1915, NA, 1944, NA, 14, NA, NA
Gerald Lathbury, 1906, NA, 1978, NA, 4, NA, NA
Gerald Lloyd-Verney, 1900, NA, 1957, NA, 2, NA, NA
Gerald Maxwell, 1895, NA, 1959, NA, 3, NA, NA
Gerald Morton, 1845, NA, 1906, NA, 3, NA, NA
Gerald O. Young, 1930, NA, 1990, NA, 5, NA, NA
Gerald Robert Poole, 1868, NA, 1937, NA, 2, NA, NA
Gerald Smedley Andrews, 1903, NA, 2005, NA, 3, NA, NA
Gerald Stapleton, 1920, South Africa, 2010, NA, 2, NA, NA
Gerald W. Thomas, 1919, United States, 2013, NA, 3, NA, NA
Gerald Westbury, 1927, NA, 2014, NA, 2, NA, NA
Gerard Bruggink, 1917, Netherlands, 2005, NA, 3, NA, NA
Gerard C. Bond, 1940, NA, 2005, NA, 19, NA, NA
Gerard Crole, 1894, NA, 1965, NA, 14, NA, NA
Gerard Mansfield, 1921, NA, 2006, NA, 2, NA, NA
Gerard Muirhead-Gould, 1889, NA, 1945, NA, 4, NA, NA
Gerard Noel (Royal Navy officer), 1845, NA, 1918, NA, 2, NA, NA
Gerard Piel, NA, NA, 2004, NA, 13, NA, NA
Gerard van Spaendonck, 1746, NA, 1822, NA, 16, NA, NA
Gerardus Mooyman, 1923, Netherlands, 1987, NA, 32, NA, NA
Gerd-Dietrich Schneider, 1921, NA, 2004, NA, 32, NA, NA
Gerd-Paul von Below, 1892, France, 1953, NA, 32, NA, NA
Gerd Achgelis, 1908, NA, 1991, NA, 16, NA, NA
Gerd Kelbling, 1912, NA, 2005, NA, 32, NA, NA
Gerd Mischke, 1920, Germany, 1992, NA, 32, NA, NA
Gerd Roellecke, 1927, Germany, 2011, NA, 2, NA, NA
Gerd Ruge (soldier), 1913, Germany, 1997, NA, 32, NA, NA
Gerd Suhren, 1914, NA, 1991, NA, 32, NA, NA
Gerhard Bassenge, 1897, NA, 1977, NA, 9, NA, NA
Gerhard Bauer, 1916, Germany, 1945, NA, 32, NA, NA
Gerhard Behnke, 1910, NA, 1962, NA, 32, NA, NA
Gerhard Beier, 1919, Germany, 2005, NA, 32, NA, NA
Gerhard Benack, 1915, NA, 1994, NA, 32, NA, NA
Gerhard Berthold, 1891, Germany, 1942, NA, 32, NA, NA
Gerhard Bielig, 1916, NA, 2004, NA, 32, NA, NA
Gerhard Bigalk, 1908, NA, 1942, NA, 32, NA, NA
Gerhard Boldt, 1918, NA, 1981, NA, 32, NA, NA
Gerhard Brehme, 1912, Poland, 1943, NA, 32, NA, NA
Gerhard Bremer, 1917, Germany, 1989, NA, 6, NA, NA
Gerhard Brenner, 1918, NA, 1942, NA, 32, NA, NA
Gerhard Bruchmann, 1918, NA, 1998, NA, 32, NA, NA
Gerhard Conrad (pilot), 1895, Germany, 1982, NA, 32, NA, NA
Gerhard Czernik, 1913, NA, 1941, NA, 32, NA, NA
Gerhard Dietrich (pilot), 1917, NA, 1982, NA, 32, NA, NA
Gerhard Engel, 1906, Germany, 1976, NA, 32, NA, NA
Gerhard Feyerabend, 1898, Germany, 1965, NA, 32, NA, NA
Gerhard Fischer (Waffen SS), 1922, Germany, 2013, NA, 6, NA, NA
Gerhard Fischer (soldier), 1915, NA, 2014, NA, 32, NA, NA
Gerhard Franz, 1902, Germany, 1975, NA, 32, NA, NA
Gerhard Friedrich, 1917, Germany, 1945, NA, 32, NA, NA
Gerhard Friedrich (officer), 1909, NA, 1945, NA, 32, NA, NA
Gerhard Giesen, 1890, NA, 1945, NA, 32, NA, NA
Gerhard Grebarsche, 1913, NA, 1992, NA, 3, NA, NA
Gerhard Hein, 1916, Germany, 2008, NA, 32, NA, NA
Gerhard Hoffmann (pilot), 1919, NA, 1945, NA, 32, NA, NA
Gerhard Homuth, 1914, NA, 1943, NA, 32, NA, NA
Gerhard Kauffmann, 1887, Germany, 1969, NA, 32, NA, NA
Gerhard Koall, 1912, NA, 1945, NA, 32, NA, NA
Gerhard Kollewe, 1912, NA, 1942, NA, 2, NA, NA
Gerhard Konopka, 1911, Poland, 1997, NA, 32, NA, NA
Gerhard Kruse, 1918, NA, 1945, NA, 32, NA, NA
Gerhard Kunert, 1920, Germany, 1944, NA, 32, NA, NA
Gerhard Köppen, 1918, Germany, 1942, NA, 32, NA, NA
Gerhard Lange, 1916, NA, 1996, NA, 32, NA, NA
Gerhard Lemcke, 1913, NA, 2004, NA, 32, NA, NA
Gerhard Lindemann, 1896, Germany, 1994, NA, 32, NA, NA
Gerhard Lindner, 1896, Germany, 1982, NA, 32, NA, NA
Gerhard Loos, 1916, NA, 1944, NA, 32, NA, NA
Gerhard Lotze, 1922, Germany, 1944, NA, 5, NA, NA
Gerhard Matzky, 1894, Poland, 1983, NA, 2, NA, NA
Gerhard Michalski, 1917, NA, 1946, NA, 32, NA, NA
Gerhard Mokros, 1909, Germany, 1996, NA, 32, NA, NA
Gerhard Neumann, 1917, NA, 1997, NA, 23, NA, NA
Gerhard Pick, 1910, NA, 1987, NA, 32, NA, NA
Gerhard Pleiss, 1915, Germany, 1941, NA, 2, NA, NA
Gerhard Raht, 1920, Germany, 1977, NA, 32, NA, NA
Gerhard Richter (pilot), 1913, Germany, 1995, NA, 32, NA, NA
Gerhard Schaar, 1919, NA, 1983, NA, 32, NA, NA
Gerhard Schacht, 1916, Germany, 1972, NA, 32, NA, NA
Gerhard Scheibe, 1917, Germany, 1944, NA, 32, NA, NA
Gerhard Schmidhuber, 1894, NA, 1945, NA, 32, NA, NA
Gerhard Schöpfel, 1912, NA, 2003, NA, 32, NA, NA
Gerhard Sommer (pilot), 1919, Germany, 1944, NA, 32, NA, NA
Gerhard Stamp, 1920, Germany, 1998, NA, 32, NA, NA
Gerhard Stüdemann, 1920, Germany, 1998, NA, 32, NA, NA
Gerhard Thyben, 1922, NA, 2006, NA, 32, NA, NA
Gerhard Thäter, 1916, NA, 2004, NA, 2, NA, NA
Gerhard Türke, 1914, Germany, 1991, NA, 32, NA, NA
Gerhard Walther, 1920, Germany, 1944, NA, 32, NA, NA
Gerhard Werner (soldier), 1916, Germany, 1944, NA, 32, NA, NA
Gerhard von Kamptz, 1902, NA, 1998, NA, 32, NA, NA
Gerhardt W. Hyatt, 1916, Canada, 1985, NA, 3, NA, NA
Gerhart Schirmer, 1913, Germany, 2004, NA, 32, NA, NA
Gerlach von Gaudecker-Zuch, 1909, NA, 1970, NA, 32, NA, NA
German Tatarinov, 1925, NA, 2006, NA, 3, NA, NA
Gerrit Jan van Heuven Goedhart, 1901, Netherlands, 1956, NA, 3, NA, NA
Gerry H. Kisters, 1919, NA, 1986, NA, 2, NA, NA
Gerry Scott, 1944, NA, 2007, NA, 39, NA, NA
Gerson Goldhaber, 1924, Germany, 2010, NA, 14, NA, NA
Gert Burgmann, 1922, Germany, 1944, NA, 32, NA, NA
Gertrude Hermes, 1901, NA, 1983, NA, 27, NA, NA
Gertrude Lightstone Mittelmann, 1907, NA, 1956, NA, 27, NA, NA
Gertrude Pitzinger, 1904, NA, 1997, NA, 15, NA, NA
Gervaise Cooke, 1911, NA, 1976, NA, 2, NA, NA
Gerður Helgadóttir, 1928, NA, 1975, NA, 19, NA, NA
Gevork Kotiantz, 1906, Armenia, 1996, NA, 5, NA, NA
Gheorghe Briceag, 1928, NA, 2008, NA, 17, NA, NA
Ghulam Abbas (writer), 1909, NA, 1982, NA, 15, NA, Islam
Ghulam Dastagir Alam, 1933, Pakistan, 2000, NA, 14, NA, NA
Ghulam Hussain Chaudry, 1926, NA, 1971, NA, 14, NA, NA
Ghulam Jilani Khan, 1925, NA, 1999, NA, 14, NA, NA
Ghulam Mohammed (composer), 1903, India, 1968, NA, 44, NA, NA
Ghulam Muhammad Qasir, 1944, Pakistan, 1999, NA, 20, NA, NA
Ghulam Rasul Raja, NA, NA, 2001, NA, 2, NA, NA
Giacinto Morera, 1856, NA, 1909, NA, 3, NA, NA
Gianfranco Gazzana-Priaroggia, 1912, NA, 1943, NA, 2, NA, NA
Gideon Mantell, 1790, NA, 1852, NA, 2, NA, NA
Gil Halstead, 1893, NA, 1970, NA, 3, NA, NA
Gil Jamieson, 1934, NA, 1992, NA, 9, NA, NA
Gilbert G. Collier, 1930, NA, 1953, NA, 2, NA, NA
Gilbert J. Uteau, 1897, NA, 1963, NA, 2, NA, NA
Gilbert Jonathan Rowcliff, 1881, NA, 1963, NA, 10, NA, NA
Gilbert Nicholetts, 1902, NA, 1983, NA, 3, NA, NA
Gilbert Price, 1942, NA, 1991, NA, 3, NA, NA
Gilbert R. Cook, 1889, NA, 1963, NA, 3, NA, NA
Gilbert Roberts, 1899, NA, 1978, NA, 2, NA, NA
Gilbert Roland, 1905, NA, 1994, NA, 3, NA, NA
Gilbert Sardier, 1897, NA, 1976, NA, 5, NA, NA
Gilbert Spencer, 1892, NA, 1972, NA, 21, NA, NA
Gilbert T. Rude, 1881, NA, 1962, NA, 12, NA, NA
Gilbert Thomas Carter, 1848, NA, 1927, NA, 33, NA, NA
Gilbert W. M. Green, 1895, NA, 1958, NA, 7, NA, NA
Gilbert de Guingand, 1891, NA, 1918, NA, 3, NA, NA
Giles Blennerhasset, 1895, Ireland, 1978, NA, 14, NA, NA
Gilles Cloutier, 1928, NA, 2014, NA, 2, NA, NA
Gilles Turcot, 1917, Canada, 2010, NA, 3, NA, NA
Ginetta Sagan, 1925, NA, 2000, NA, 2, NA, NA
Ginger Riley Munduwalawala, 1937, Australia, 2002, NA, 2, NA, NA
Giorgio Michetti, 1888, Italy, 1966, NA, 23, NA, NA
Giorgio Pessi, 1891, NA, 1933, NA, 2, NA, NA
Giorgio di Sant' Angelo, 1933, NA, 1989, NA, 2, NA, NA
Giorgos Velentzas, 1927, Greece, 2015, NA, 40, NA, NA
Giovanni Ancillotto, 1896, NA, 1924, NA, 23, NA, NA
G. Arthur Cooper, 1902, NA, 2000, NA, 4, NA, NA
G. B. Greene Jr., 1914, NA, 1998, NA, 3, NA, NA
G. Edward Buxton Jr., 1880, NA, 1949, NA, 6, NA, NA
G. F. Gorringe, 1868, NA, 1945, NA, 3, NA, NA
G. Ledyard Stebbins, 1906, NA, 2000, NA, 2, NA, NA
G. M. B. Dobson, 1889, NA, 1976, NA, 13, NA, NA
G. P. Chopra, 1920, NA, 2011, NA, 2, NA, NA
G. S. Carter, 1910, NA, 1988, NA, 27, NA, NA
G. S. Venkataraman, 1930, NA, 1998, NA, 4, NA, NA
G. Sankara Pillai, 1930, India, 1989, NA, 2, NA, NA
G. W. Pierce, 1872, NA, 1956, NA, 2, NA, NA
Gabriel Axel, 1918, NA, 2014, NA, 2, NA, NA
Gabriel Brunet de Sairigné, 1913, France, 1948, NA, 2, NA, NA
Gabriel Cole (Medal of Honor), 1831, NA, 1907, NA, 14, NA, NA
Gabriel Grant, 1826, NA, 1909, NA, 14, NA, NA
Gabriel Guérin, 1892, NA, 1918, NA, 3, NA, NA
Gabriel H. Mahon Jr., 1889, NA, 1962, NA, 2, NA, NA
Gabriel P. Disosway, 1910, NA, 2001, NA, 4, NA, NA
Gabriel París Gordillo, 1910, Colombia, 2008, NA, 15, NA, Catholic Church
Gabriel von Seidl, 1848, NA, 1913, NA, 2, NA, NA
Gabrielle Léger, 1916, NA, 1998, NA, 15, NA, NA
Gad al-Haq, 1917, Egypt, 1996, NA, 31, NA, NA
Gaetano Fichera, 1922, NA, 1996, NA, 6, NA, NA
Gaines Lawson, 1840, NA, 1906, NA, 14, NA, NA
Galina Starovoytova, 1946, NA, 1998, NA, 27, NA, NA
Galina Ulanova, 1910, NA, 1998, NA, 27, NA, NA
Galya Novents, 1937, NA, 2012, NA, 39, NA, NA
Galéas de Saint-Séverin, NA, NA, 1525, NA, 22, NA, NA
Gandy Brodie, 1924, NA, 1975, NA, 21, NA, NA
Ganga Devi (painter), 1928, NA, 1991, NA, 10, NA, NA
Gangadhar Pradhan, ['1948', '1941'], NA, 2010, NA, 3, NA, Hinduism
Gano Dunn, 1870, NA, 1953, NA, 2, NA, NA
Ganpatrao Jadhav, 1908, NA, 1987, NA, 10, NA, NA
Gao Zhihang, 1907, NA, 1937, NA, 26, NA, NA
Gareth Clayton (RAF officer), 1914, NA, 1992, NA, 4, NA, NA
Garfield Finlay, 1893, NA, 1961, NA, 2, NA, NA
Garfield M. Langhorn, 1948, NA, 1969, NA, 2, NA, NA
Garnet Hughes, 1880, NA, 1937, NA, 4, NA, NA
Garnet Malley, 1892, NA, 1961, NA, 3, NA, NA
Garrison H. Davidson, 1904, NA, 1992, NA, 4, NA, NA
Giovanni Fabbroni, 1752, Italy, 1822, NA, 17, NA, NA
Giovanni Marchese di Provera, 1736, NA, 1804, NA, 31, NA, NA
Giovanni Narcis Hakkenberg, 1923, NA, 2013, NA, 22, NA, NA
Giovanni Nicelli, 1893, NA, 1918, NA, 2, NA, NA
Giovanni Omiccioli, 1901, Italy, 1975, NA, 8, NA, NA
Giovanni Sabelli, 1886, Italy, 1917, NA, 30, NA, NA
Gisela Bonn, 1909, NA, 1996, NA, 10, NA, NA
Giselher Wilke, 1922, Germany, 2007, NA, 32, NA, NA
Giuliana Camerino, 1920, NA, 2010, NA, 27, NA, NA
Giulio Lega, 1892, Italy, 1973, NA, 2, NA, NA
Giuseppe Attardi, 1923, Italy, 2008, NA, 39, NA, NA
Giuseppe Cenni, 1915, NA, 1943, NA, 3, NA, NA
Giuseppe Cocconi, 1914, NA, 2008, NA, 21, NA, NA
Giuseppe Fioravanzo, 1891, NA, 1975, NA, 7, NA, NA
Giuseppe Moretti, 1857, Italy, 1935, NA, 3, NA, NA
Giuseppe Tellera, 1882, NA, 1941, NA, 29, NA, NA
Gleb Baklanov, 1910, NA, 1976, NA, 9, NA, NA
Gleb Krotkov, 1901, NA, 1968, NA, 14, NA, NA
Gleb Savinov, 1915, Ukraine, 2000, NA, 18, NA, NA
Glen Cooper, 1915, NA, 1986, NA, 3, NA, NA
Glen P. Robinson, 1923, NA, 2013, NA, 49, NA, NA
Glenn H. English Jr., 1940, NA, 1970, NA, 3, NA, NA
Glenn K. Otis, 1929, NA, 2013, NA, 3, NA, NA
Glenn L. Martin, 1886, NA, 1955, NA, 23, NA, NA
Gloria Escoffery, 1923, Jamaica, 2002, NA, 2, NA, NA
Gobind Behari Lal, 1889, NA, 1982, Cancer, 2, NA, NA
Godfrey Bremridge, 1895, NA, 1941, NA, 32, NA, NA
Godfrey Haggard, 1884, NA, 1969, NA, 3, NA, NA
Godfrey Herbert, 1884, NA, 1961, NA, 2, NA, NA
Godfrey Milton-Thompson, 1930, NA, 2012, NA, 2, NA, NA
Godfrey Paine, 1871, NA, 1932, NA, 3, NA, NA
Godwin von Brumowski, 1889, NA, 1936, NA, 5, NA, NA
Goh Poh Seng, 1936, NA, 2010, Parkinson's disease, 18, NA, NA
Gokulananda Mahapatra, 1926, NA, 2013, NA, 13, NA, NA
Golam Mustafa, 1935, NA, 2003, NA, 13, NA, NA
Gomes Freire de Andrade, 1757, NA, 1817, NA, 2, NA, NA
Gonzalo Queipo de Llano, 1875, Spain, 1951, NA, 33, NA, NA
Gopal Prasad Rimal, 1918, Nepal, 1973, NA, 14, NA, NA
Gopal Prasad Vyas, 1915, NA, 2005, NA, 10, NA, NA
Gopal Purushottam Phadke, NA, NA, 2009, NA, 2, NA, NA
Gopinath Mohanty, 1914, NA, 1991, NA, 2, NA, NA
Gord Reay, 1943, United Kingdom, 2000, NA, 3, NA, NA
Gordan Lederer, 1958, Croatia, 1991, NA, 47, NA, NA
Gordon Apps, 1899, NA, 1931, NA, 43, NA, NA
Gordon Bastian, 1902, NA, 1987, NA, 2, NA, NA
Gordon Brettell, 1915, NA, 1944, NA, 2, NA, NA
Gordon Bridson, 1909, NA, 1972, NA, 3, NA, NA
Gordon Budd Irving, 1898, NA, 1918, NA, 43, NA, NA
Gordon Byrom Rogers, 1901, NA, 1967, NA, 7, NA, NA
Gordon Cleaver, NA, NA, 1994, NA, 43, NA, NA
